,budget,critic_rating,distribution,genre,id,method,rating,release,runtime,source,weekend1_date,weekend1_gross,weekend1_pertheater,weekend1_rank,weekend1_theaters,weekend2_date,weekend2_gross,weekend2_pertheater,weekend2_rank,weekend2_theaters,weekend3_date,weekend3_gross,weekend3_pertheater,weekend3_rank,weekend3_theaters,weekend4_date,weekend4_gross,weekend4_pertheater,weekend4_rank,weekend4_theaters,weekend5_date,weekend5_gross,weekend5_pertheater,weekend5_rank,weekend5_theaters,widest_release,year
The Prestige,40000000.0,76.0,Walt Disney,Thriller/Suspense,Prestige-The,Live Action,PG-13,True,130.0,Based on Fiction Book/Short Story,2006-10-20 00:00:00,14801808,6489,1,2281,2006-10-27 00:00:00,9573215,4197,3,2281,2006-11-03 00:00:00,7505268,3256,6,2305,2006-11-10 00:00:00,4778175,2137,8,2236,2006-11-17 00:00:00,1949969,1327,13,1470,2305.0,2006
The Prince & Me,30000000.0,28.0,Paramount Pictures,Romantic Comedy,Prince-and-Me-The,Live Action,PG,True,,Original Screenplay,2004-04-02 00:00:00,9406378,3507,6,2682,2004-04-09 00:00:00,5388594,1988,11,2711,2004-04-16 00:00:00,3344157,1624,12,2059,2004-04-23 00:00:00,1360940,731,16,1863,2004-04-30 00:00:00,331109,387,26,855,2711.0,2004
The Princess Diaries 2: Royal Engagement,45000000.0,25.0,Walt Disney,Romantic Comedy,Princess-Diaries-2-Royal-Engagement-The,Live Action,G,True,113.0,Based on Fiction Book/Short Story,2004-08-13 00:00:00,22956453,6612,2,3472,2004-08-20 00:00:00,13051560,3740,3,3490,2004-08-27 00:00:00,8084138,2427,4,3331,2004-09-03 00:00:00,5552475,1769,5,3139,2004-09-10 00:00:00,2932938,1196,5,2452,3490.0,2004
The Princess and the Frog,105000000.0,85.0,Walt Disney,Adventure,Princess-and-the-Frog-The,Hand Animation,G,False,97.0,Based on Fiction Book/Short Story,2009-11-27 00:00:00,786190,393095,18,2,2009-12-04 00:00:00,747710,373855,16,2,2009-12-11 00:00:00,24208916,7050,1,3434,2009-12-18 00:00:00,12185949,3507,2,3475,2009-12-25 00:00:00,9004610,2591,7,3475,3475.0,2009
The Producers: The Movie Musical,45000000.0,,Universal,Musical,Producers-The-(2005),Live Action,PG-13,True,,Remake,2005-12-16 00:00:00,154590,25765,23,6,2005-12-23 00:00:00,1616791,1658,14,975,2005-12-30 00:00:00,4014930,4105,12,978,2006-01-06 00:00:00,2244115,2395,16,937,2006-01-13 00:00:00,1283475,1635,20,785,978.0,2005
The Proposal,40000000.0,44.0,Walt Disney,Romantic Comedy,Proposal-The,Live Action,PG-13,True,107.0,Original Screenplay,2009-06-19 00:00:00,33627598,11004,1,3056,2009-06-26 00:00:00,18578541,6075,2,3058,2009-07-03 00:00:00,12857482,4149,4,3099,2009-07-10 00:00:00,10603884,3358,5,3158,2009-07-17 00:00:00,8289707,2724,5,3043,3158.0,2009
The Protector,5700000.0,54.0,Weinstein Co.,Action,Tom-yum-goong,Live Action,R,True,81.0,Original Screenplay,2006-09-08 00:00:00,5034180,3267,4,1541,2006-09-15 00:00:00,2475333,1606,11,1541,2006-09-22 00:00:00,955185,785,18,1217,2006-09-29 00:00:00,256418,636,27,403,2006-10-06 00:00:00,71647,494,43,145,1541.0,2006
The Punisher,33000000.0,29.0,Lionsgate,Action,Punisher-The,Live Action,R,True,124.0,Based on Comic/Graphic Novel,2004-04-16 00:00:00,13834527,5223,2,2649,2004-04-23 00:00:00,6287612,2374,4,2649,2004-04-30 00:00:00,3499450,1544,8,2267,2004-05-07 00:00:00,1136409,792,11,1435,2004-05-14 00:00:00,371355,689,22,539,2649.0,2004
The Purge,3000000.0,38.0,Universal,Thriller/Suspense,Purge-The,Live Action,R,True,85.0,Original Screenplay,2013-06-07 00:00:00,34058360,13430,1,2536,2013-06-14 00:00:00,8317995,3210,5,2591,2013-06-21 00:00:00,3587630,1630,7,2201,2013-06-28 00:00:00,1228595,1095,12,1122,2013-07-05 00:00:00,322555,1260,20,256,2591.0,2013
The Purge: Anarchy,9000000.0,56.0,Universal,Thriller/Suspense,Purge-Anarchy-The,Live Action,R,True,103.0,Original Screenplay,2014-07-18 00:00:00,29816675,10626,2,2806,2014-07-25 00:00:00,10482760,3670,4,2856,2014-08-01 00:00:00,5853245,2204,7,2656,2014-08-08 00:00:00,2285060,1426,11,1602,2014-08-15 00:00:00,632910,1101,19,575,2856.0,2014
The Pursuit of Happyness,55000000.0,67.0,Sony Pictures,Drama,Pursuit-of-Happyness-The,Live Action,PG-13,True,117.0,Based on Real Life Events,2006-12-15 00:00:00,26541709,9306,1,2852,2006-12-22 00:00:00,14817371,5175,2,2863,2006-12-29 00:00:00,19362441,6746,2,2870,2007-01-05 00:00:00,12880926,4255,2,3027,2007-01-12 00:00:00,8901206,2809,3,3169,3169.0,2006
The Pyramid,,11.0,20th Century Fox,Horror,Pyramid-The,Live Action,R,True,89.0,Original Screenplay,2014-12-05 00:00:00,1369935,2326,9,589,2014-12-12 00:00:00,585629,855,17,685,2014-12-19 00:00:00,57243,469,35,122,2014-12-26 00:00:00,16104,596,52,27,2015-01-02 00:00:00,9044,335,60,27,685.0,2014
The Queen,15000000.0,97.0,Miramax,Drama,Queen-The,Live Action,PG-13,False,,Based on Real Life Events,2006-09-29 00:00:00,122014,40671,38,3,2006-10-06 00:00:00,401978,36543,18,11,2006-10-13 00:00:00,1022475,22228,13,46,2006-10-20 00:00:00,1510081,15253,16,99,2006-10-27 00:00:00,1909139,12560,14,152,152.0,2006
The Quiet  Ones,,36.0,Lionsgate,Horror,Quiet-Ones-The,Live Action,PG-13,True,98.0,Original Screenplay,2014-04-25 00:00:00,3880053,1914,7,2027,2014-05-02 00:00:00,1994670,984,8,2027,2014-05-09 00:00:00,719214,635,16,1133,2014-05-16 00:00:00,161124,473,29,341,2014-05-23 00:00:00,38757,421,47,92,2027.0,2014
The Raid 2,,,Sony Pictures Classics,Action,Serbuan-maut-2-Berandal,Live Action,R,False,148.0,Original Screenplay,2014-03-28 00:00:00,165292,23613,23,7,2014-04-04 00:00:00,130928,5036,30,26,2014-04-11 00:00:00,956672,1003,11,954,2014-04-18 00:00:00,410880,762,17,539,2014-04-25 00:00:00,80706,1137,35,71,954.0,2014
The Raid: Redemption,1100000.0,,Sony Pictures Classics,Action,Serbuan-maut,Live Action,R,False,100.0,Original Screenplay,2012-03-23 00:00:00,213785,15270,25,14,2012-03-30 00:00:00,270496,5880,20,46,2012-04-06 00:00:00,526292,2990,13,176,2012-04-13 00:00:00,961454,1091,11,881,2012-04-20 00:00:00,473657,864,17,548,881.0,2012
The Railway Man,18000000.0,66.0,Weinstein Co.,Drama,Railway-Man-The,Live Action,R,False,116.0,Based on Factual Book/Article,2014-04-11 00:00:00,18078,4520,56,4,2014-04-18 00:00:00,164252,6317,29,26,2014-04-25 00:00:00,578452,3708,16,156,2014-05-02 00:00:00,502556,3064,17,164,2014-05-09 00:00:00,437644,2418,20,181,181.0,2014
The Raven,26000000.0,22.0,Relativity,Thriller/Suspense,Raven-The,Live Action,R,True,111.0,Original Screenplay,2012-04-27 00:00:00,7289642,3309,7,2203,2012-05-04 00:00:00,2636780,1194,8,2209,2012-05-11 00:00:00,1378847,730,12,1888,2012-05-18 00:00:00,236650,548,25,432,2012-05-25 00:00:00,60013,541,37,111,2209.0,2012
The Reader,32500000.0,61.0,Weinstein Co.,Drama,Reader-The,Live Action,R,False,122.0,Based on Fiction Book/Short Story,2008-12-12 00:00:00,168051,21006,25,8,2008-12-19 00:00:00,92790,11599,29,8,2008-12-26 00:00:00,664013,5724,22,116,2009-01-02 00:00:00,1598472,4016,17,398,2009-01-09 00:00:00,1346742,2656,18,507,507.0,2008
The Real Cancun,4000000.0,35.0,New Line,Documentary,Real-Cancun-The,Live Action,R,True,,Based on TV,2003-04-25 00:00:00,2108796,933,10,2261,2003-05-02 00:00:00,612495,271,18,2261,2003-05-09 00:00:00,133950,598,36,224,2003-05-16 00:00:00,37454,528,55,71,,,,,,2261.0,2003
The Reaping,40000000.0,8.0,Warner Bros.,Horror,Reaping-The,Live Action,R,True,,Original Screenplay,2007-04-06 00:00:00,10025203,3851,5,2603,2007-04-13 00:00:00,4567478,1755,8,2603,2007-04-20 00:00:00,1651442,868,13,1903,2007-04-27 00:00:00,712294,763,19,933,2007-05-04 00:00:00,302141,635,20,476,2603.0,2007
The Recruit,,43.0,Walt Disney,Thriller/Suspense,Recruit-The,Live Action,PG-13,True,,Original Screenplay,2003-01-31 00:00:00,16302063,6861,1,2376,2003-02-07 00:00:00,9226419,3883,4,2376,2003-02-14 00:00:00,6432999,2754,6,2336,2003-02-21 00:00:00,3414899,2035,10,1678,2003-02-28 00:00:00,2728478,1809,10,1508,2376.0,2003
The Return,,16.0,Focus Features,Thriller/Suspense,Return-The-(2006),Live Action,PG-13,True,,Original Screenplay,2006-11-10 00:00:00,4479621,2258,9,1984,2006-11-17 00:00:00,1723615,883,14,1953,2006-11-24 00:00:00,299785,712,24,421,2006-12-01 00:00:00,59111,510,39,116,2006-12-08 00:00:00,21636,424,57,51,1984.0,2006
The Ring Two,50000000.0,20.0,Dreamworks SKG,Horror,Ring-Two-The,Live Action,PG-13,True,109.0,Remake,2005-03-18 00:00:00,35065237,10524,1,3332,2005-03-25 00:00:00,13616573,4076,3,3341,2005-04-01 00:00:00,5689130,1790,7,3179,2005-04-08 00:00:00,2867390,1191,9,2407,2005-04-15 00:00:00,1399367,730,11,1917,3341.0,2005
The Ringer,,40.0,Fox Searchlight,Comedy,Ringer-The,Live Action,PG-13,True,,Original Screenplay,2005-12-23 00:00:00,5158795,2821,7,1829,2005-12-30 00:00:00,6179977,3335,8,1853,2006-01-06 00:00:00,4249864,2518,11,1688,2006-01-13 00:00:00,2718309,1958,14,1388,2006-01-20 00:00:00,1384752,1388,18,998,1853.0,2005
The Rite,37000000.0,21.0,Warner Bros.,Horror,Rite-The,Live Action,PG-13,True,114.0,Based on Factual Book/Article,2011-01-28 00:00:00,14789393,4955,1,2985,2011-02-04 00:00:00,5589311,1872,6,2985,2011-02-11 00:00:00,3252360,1474,11,2207,2011-02-18 00:00:00,1130106,1078,16,1048,2011-02-25 00:00:00,479351,880,20,545,2985.0,2011
The Road,25000000.0,75.0,Weinstein Co.,Drama,Road-The,Live Action,R,True,,Based on Fiction Book/Short Story,2009-11-27 00:00:00,1502231,13534,10,111,2009-12-04 00:00:00,749535,5856,15,128,2009-12-11 00:00:00,505878,3747,17,135,2009-12-18 00:00:00,660274,1667,16,396,2009-12-25 00:00:00,449066,1444,19,311,396.0,2009
The Rocker,15000000.0,41.0,20th Century Fox,Comedy,Rocker-The,Live Action,PG-13,True,102.0,Original Screenplay,2008-08-22 00:00:00,2636048,947,13,2784,2008-08-29 00:00:00,969878,348,22,2784,2008-09-05 00:00:00,154928,379,35,409,2008-09-12 00:00:00,82761,552,40,150,2008-09-19 00:00:00,48669,380,45,128,2784.0,2008
The Roommate,16000000.0,4.0,Sony Pictures,Thriller/Suspense,Roommate-The,Live Action,PG-13,True,91.0,Original Screenplay,2011-02-04 00:00:00,15002635,5921,1,2534,2011-02-11 00:00:00,8126025,3207,5,2534,2011-02-18 00:00:00,3909742,1810,8,2160,2011-02-25 00:00:00,1940609,1124,11,1726,2011-03-04 00:00:00,585489,966,19,606,2534.0,2011
The Ruins,25000000.0,48.0,Paramount Pictures,Horror,Ruins-The,Live Action,R,True,,Based on Fiction Book/Short Story,2008-04-04 00:00:00,8003421,2846,5,2812,2008-04-11 00:00:00,3385395,1203,8,2814,2008-04-18 00:00:00,1209263,651,13,1857,2008-04-25 00:00:00,420262,582,18,722,2008-05-02 00:00:00,141870,591,31,240,2814.0,2008
The Rum Diary,,50.0,FilmDistrict,Drama,Rum-Diary-The,Live Action,R,True,122.0,Based on Fiction Book/Short Story,2011-10-28 00:00:00,5135369,2260,5,2272,2011-11-04 00:00:00,2920481,1274,8,2292,2011-11-11 00:00:00,803456,848,14,947,2011-11-18 00:00:00,148070,974,32,152,2011-11-25 00:00:00,54243,1005,45,54,2292.0,2011
The Rundown,85000000.0,71.0,Universal,Action,Rundown-The,Live Action,PG-13,True,,Original Screenplay,2003-09-26 00:00:00,18533765,5880,1,3152,2003-10-03 00:00:00,9682780,3070,3,3154,2003-10-10 00:00:00,5208445,1845,7,2823,2003-10-17 00:00:00,2780695,1325,10,2099,2003-10-24 00:00:00,1003900,890,14,1128,3154.0,2003
The Santa Clause 3: The Escape Clause,,15.0,Walt Disney,Comedy,Santa-Clause-3-The-Escape-Clause-The,Live Action,G,True,,Original Screenplay,2006-11-03 00:00:00,19504038,5640,2,3458,2006-11-10 00:00:00,16927004,4895,2,3458,2006-11-17 00:00:00,8302661,2472,4,3359,2006-11-24 00:00:00,9929029,3263,6,3043,2006-12-01 00:00:00,4893966,1870,6,2617,3458.0,2006
The Sapphires,,91.0,Weinstein Co.,Musical,Sapphires-The,Live Action,PG-13,False,99.0,Original Screenplay,2013-03-22 00:00:00,38372,9593,50,4,2013-03-29 00:00:00,71629,5969,42,12,2013-04-05 00:00:00,292030,4867,19,60,2013-04-12 00:00:00,248945,2677,20,93,2013-04-19 00:00:00,254969,2237,23,114,114.0,2013
The Savages,9000000.0,89.0,Fox Searchlight,Drama,Savages-The,Live Action,R,False,,Original Screenplay,2007-11-30 00:00:00,151859,37965,29,4,2007-12-07 00:00:00,142449,15828,30,9,2007-12-14 00:00:00,96938,9694,31,10,2007-12-21 00:00:00,217924,3632,22,60,2007-12-28 00:00:00,522952,4711,18,111,111.0,2007
The School of Rock,20000000.0,92.0,Paramount Pictures,Comedy,School-of-Rock,Live Action,PG-13,True,110.0,Original Screenplay,2003-10-03 00:00:00,19622714,7507,1,2614,2003-10-10 00:00:00,15487832,5288,2,2929,2003-10-17 00:00:00,11006233,3730,4,2951,2003-10-24 00:00:00,6521355,2210,6,2951,2003-10-31 00:00:00,4522814,1623,8,2786,2951.0,2003
The Secret Life of Bees,11000000.0,58.0,Fox Searchlight,Drama,Secret-Life-of-Bees-The,Live Action,PG-13,True,110.0,Based on Fiction Book/Short Story,2008-10-17 00:00:00,10527799,6617,3,1591,2008-10-24 00:00:00,6051630,3713,6,1630,2008-10-31 00:00:00,4010668,2490,7,1611,2008-11-07 00:00:00,3089467,2086,9,1481,2008-11-14 00:00:00,2338279,1614,8,1449,1630.0,2008
The Secret Life of Walter Mitty,91000000.0,50.0,20th Century Fox,Comedy,Secret-Life-of-Walter-Mitty-The,Live Action,PG,True,114.0,Based on Fiction Book/Short Story,2013-12-27 00:00:00,12765508,4388,7,2909,2014-01-03 00:00:00,8001717,2738,8,2922,2014-01-10 00:00:00,4302846,1665,13,2584,2014-01-17 00:00:00,1300023,1254,19,1037,2014-01-24 00:00:00,607947,1126,22,540,2922.0,2013
The Secret World of Arrietty,,95.0,Walt Disney,Adventure,Kari-gurashi-no-Arietti,Hand Animation,G,True,94.0,Based on Fiction Book/Short Story,2012-02-17 00:00:00,6446395,4235,9,1522,2012-02-24 00:00:00,4351115,1471,10,2958,2012-03-02 00:00:00,1484644,1037,14,1431,2012-03-09 00:00:00,417697,834,23,501,2012-03-23 00:00:00,167416,731,30,229,2958.0,2012
The Secret in Their Eyes,3500000.0,91.0,Sony Pictures Classics,Thriller/Suspense,secreto-de-sus-ojos-El,Live Action,R,False,127.0,Based on Fiction Book/Short Story,2010-04-16 00:00:00,167866,16787,30,10,2010-04-23 00:00:00,360056,10911,19,33,2010-04-30 00:00:00,337164,7493,24,45,2010-05-07 00:00:00,384191,4743,22,81,2010-05-14 00:00:00,368338,3576,21,103,103.0,2010
The Seeker: The Dark is Rising,,14.0,20th Century Fox,Adventure,Seeker-The-Dark-is-Rising-The,Live Action,PG,True,,Based on Fiction Book/Short Story,2007-10-05 00:00:00,3745315,1192,5,3141,2007-10-12 00:00:00,2212955,697,10,3173,2007-10-19 00:00:00,466531,559,25,835,2007-10-26 00:00:00,173698,492,32,353,2007-11-02 00:00:00,59423,396,43,150,3173.0,2007
The Sentinel,60000000.0,33.0,20th Century Fox,Thriller/Suspense,Sentinel-The,Live Action,PG-13,True,,Based on Fiction Book/Short Story,2006-04-21 00:00:00,14367854,5091,3,2822,2006-04-28 00:00:00,7787208,2731,6,2851,2006-05-05 00:00:00,3086304,1317,11,2343,2006-05-12 00:00:00,1534138,1168,15,1314,2006-05-19 00:00:00,380952,854,21,446,2851.0,2006
The September Issue,,83.0,Roadside Attractions,Documentary,September-Issue-The,Live Action,PG-13,False,,Based on Real Life Events,2009-08-28 00:00:00,220416,36736,31,6,2009-09-04 00:00:00,146002,7300,39,20,2009-09-11 00:00:00,693862,6251,20,111,2009-09-18 00:00:00,404475,3517,23,115,2009-09-25 00:00:00,380446,2660,25,143,143.0,2009
The Sessions,1000000.0,93.0,Fox Searchlight,Drama,Sessions-The,Live Action,R,False,95.0,Based on Factual Book/Article,2012-10-19 00:00:00,113467,28367,28,4,2012-10-26 00:00:00,217353,10868,23,20,2012-11-02 00:00:00,468312,6787,20,69,2012-11-09 00:00:00,545550,4262,19,128,2012-11-16 00:00:00,910504,1765,13,516,516.0,2012
The Shaggy Dog,60000000.0,26.0,Walt Disney,Comedy,Shaggy-Dog-The-(2006),Live Action,PG,True,98.0,Remake,2006-03-10 00:00:00,16310058,4659,2,3501,2006-03-17 00:00:00,13377363,3821,3,3501,2006-03-24 00:00:00,9035928,2641,5,3421,2006-03-31 00:00:00,3242414,1107,9,2929,2006-04-07 00:00:00,1207878,710,15,1701,3501.0,2006
The Simpsons Movie,72500000.0,90.0,20th Century Fox,Comedy,Simpsons-Movie-The,Digital Animation,PG-13,True,86.0,Based on TV,2007-07-27 00:00:00,74036787,18877,1,3922,2007-08-03 00:00:00,25110873,6396,2,3926,2007-08-10 00:00:00,11269651,3173,3,3552,2007-08-17 00:00:00,6829648,2160,4,3162,2007-08-24 00:00:00,4317689,1661,7,2600,3926.0,2007
The Sisterhood of the Traveling Pants 2,27000000.0,65.0,Warner Bros.,Adventure,Sisterhood-of-the-Traveling-Pants-2-The,Live Action,PG-13,True,,Based on Fiction Book/Short Story,2008-08-08 00:00:00,10678430,3945,4,2707,2008-08-15 00:00:00,5785250,2132,8,2714,2008-08-22 00:00:00,2807076,1294,12,2170,2008-08-29 00:00:00,1435809,1147,19,1252,2008-09-05 00:00:00,975346,859,18,1135,2714.0,2008
The Sitter,25000000.0,21.0,20th Century Fox,Comedy,Sitter-The,Live Action,R,True,81.0,Original Screenplay,2011-12-09 00:00:00,9851435,3582,2,2750,2011-12-16 00:00:00,4608681,1675,5,2752,2011-12-23 00:00:00,1739165,974,15,1786,2011-12-30 00:00:00,1673796,1242,15,1348,2012-01-06 00:00:00,1154849,1524,17,758,2752.0,2011
The Skeleton Key,40000000.0,,Universal,Horror,Skeleton-Key-The,Live Action,PG-13,True,,Original Screenplay,2005-08-12 00:00:00,16057945,5795,2,2771,2005-08-19 00:00:00,7725495,2785,5,2774,2005-08-26 00:00:00,4537875,1630,8,2784,2005-09-02 00:00:00,3306850,1370,9,2414,2005-09-09 00:00:00,1510180,805,11,1876,2784.0,2005
The Skin I Live In,,81.0,Sony Pictures Classics,Drama,piel-que-habito-La,Live Action,R,False,117.0,Based on Fiction Book/Short Story,2011-10-14 00:00:00,223119,37187,25,6,2011-10-21 00:00:00,247193,11771,25,21,2011-10-28 00:00:00,180713,5829,31,31,2011-11-04 00:00:00,328372,4210,22,78,2011-11-11 00:00:00,297391,3268,26,91,91.0,2011
The Smurfs,110000000.0,22.0,Sony Pictures,Adventure,Smurfs-The,Animation/Live Action,PG,True,103.0,Based on Comic/Graphic Novel,2011-07-29 00:00:00,35611637,10489,2,3395,2011-08-05 00:00:00,20702415,6098,2,3395,2011-08-12 00:00:00,13733081,4007,4,3427,2011-08-19 00:00:00,7802377,2552,6,3057,2011-08-26 00:00:00,4754766,1662,7,2861,3427.0,2011
The Smurfs 2,110000000.0,14.0,Sony Pictures,Adventure,Smurfs-2-The,Animation/Live Action,PG,True,104.0,Based on Comic/Graphic Novel,2013-08-02 00:00:00,17548389,4539,3,3866,2013-08-09 00:00:00,9328495,2412,6,3867,2013-08-16 00:00:00,4769626,2030,9,2349,2013-08-23 00:00:00,2764252,1493,13,1852,2013-08-30 00:00:00,1948376,1426,18,1366,3867.0,2013
The Social Network,40000000.0,96.0,Sony Pictures,Drama,Social-Network-The,Live Action,PG-13,True,120.0,Based on Real Life Events,2010-10-01 00:00:00,22445653,8100,1,2771,2010-10-08 00:00:00,15451991,5576,1,2771,2010-10-15 00:00:00,10317395,3597,3,2868,2010-10-22 00:00:00,7276972,2491,5,2921,2010-10-29 00:00:00,4515105,1632,7,2767,2921.0,2010
The Soloist,60000000.0,56.0,Paramount Pictures,Drama,Soloist-The,Live Action,PG-13,True,117.0,Based on Real Life Events,2009-04-24 00:00:00,9716458,4801,4,2024,2009-05-01 00:00:00,5654558,2781,6,2033,2009-05-08 00:00:00,3949430,1890,7,2090,2009-05-15 00:00:00,2402801,1188,8,2022,2009-05-22 00:00:00,849457,1299,11,654,2090.0,2009
The Sorcerer's Apprentice,160000000.0,41.0,Walt Disney,Adventure,Sorcerers-Apprentice-The,Animation/Live Action,PG,True,108.0,Based on Short Film,2010-07-16 00:00:00,17619622,5028,3,3504,2010-07-23 00:00:00,9651495,2754,4,3504,2010-07-30 00:00:00,4465524,1769,9,2524,2010-08-06 00:00:00,2361228,1337,12,1766,2010-08-13 00:00:00,1120604,1133,16,989,3504.0,2010
The Spiderwick Chronicles,92500000.0,80.0,Paramount Pictures,Adventure,Spiderwick-Chronicles-The,Live Action,PG,True,96.0,Based on Fiction Book/Short Story,2008-02-15 00:00:00,19004058,4940,2,3847,2008-02-22 00:00:00,13100192,3405,2,3847,2008-02-29 00:00:00,8700378,2381,3,3654,2008-03-07 00:00:00,4712945,1452,6,3246,2008-03-14 00:00:00,2335238,970,10,2407,3847.0,2008
The Spirit,60000000.0,14.0,Lionsgate,Action,Spirit-The,Live Action,PG-13,True,102.0,Based on Comic/Graphic Novel,2008-12-26 00:00:00,6463278,2576,9,2509,2009-01-02 00:00:00,3259898,1299,13,2509,2009-01-09 00:00:00,558480,513,23,1088,2009-01-16 00:00:00,74798,445,40,168,,,,,,2509.0,2008
The Spy Next Door,28000000.0,12.0,Lionsgate,Comedy,Spy-Next-Door-The,Live Action,PG,True,,Original Screenplay,2010-01-15 00:00:00,9726056,3326,6,2924,2010-01-22 00:00:00,4584524,1568,10,2924,2010-01-29 00:00:00,2075020,1121,15,1851,2010-02-05 00:00:00,918846,912,16,1007,2010-02-12 00:00:00,412191,1023,25,403,2924.0,2010
The Station Agent,500000.0,95.0,Miramax,Drama,Station-Agent-The,Live Action,R,False,,Original Screenplay,2003-10-03 00:00:00,57785,19262,55,3,2003-10-10 00:00:00,43192,14397,52,3,2003-10-17 00:00:00,221166,4423,22,50,2003-10-24 00:00:00,260634,4494,23,58,2003-10-31 00:00:00,319477,3715,23,86,86.0,2003
The Stepfather,20000000.0,11.0,Sony Pictures,Thriller/Suspense,Stepfather-The-(2008),Live Action,PG-13,True,,Remake,2009-10-16 00:00:00,11581586,4236,5,2734,2009-10-23 00:00:00,6230969,2279,8,2734,2009-10-30 00:00:00,3207792,1367,8,2346,2009-11-06 00:00:00,1800133,1264,14,1424,2009-11-13 00:00:00,836327,975,16,858,2734.0,2009
The Stepford Wives,100000000.0,26.0,Paramount Pictures,Comedy,Stepford-Wives-The-(2004),Live Action,PG-13,True,,Remake,2004-06-11 00:00:00,21406781,7003,5,3057,2004-06-18 00:00:00,8762198,2866,7,3057,2004-06-25 00:00:00,5056343,2075,10,2437,2004-07-02 00:00:00,2306090,1594,11,1447,2004-07-09 00:00:00,1094144,1059,15,1033,3057.0,2004
The Strangers,9000000.0,,Focus Features,Thriller/Suspense,Strangers-The,Live Action,R,True,,Original Screenplay,2008-05-30 00:00:00,20997985,8512,3,2467,2008-06-06 00:00:00,8941970,3610,5,2477,2008-06-13 00:00:00,4024485,1670,8,2410,2008-06-20 00:00:00,2122410,1345,10,1578,2008-06-27 00:00:00,632115,1050,14,602,2477.0,2008
The Switch,19000000.0,,Miramax,Romantic Comedy,Switch-The,Live Action,PG-13,True,101.0,Original Screenplay,2010-08-20 00:00:00,8436713,4193,7,2012,2010-08-27 00:00:00,4583481,2272,9,2017,2010-09-03 00:00:00,3119557,1655,12,1885,2010-09-10 00:00:00,2001103,1255,12,1595,2010-09-17 00:00:00,930037,803,16,1158,2017.0,2010
The Taking of Pelham 123,110000000.0,51.0,Sony Pictures,Action,Taking-of-Pelham-123-The,Live Action,R,True,106.0,Remake,2009-06-12 00:00:00,23373102,7603,3,3074,2009-06-19 00:00:00,12034899,3911,5,3077,2009-06-26 00:00:00,5451107,1820,7,2995,2009-07-03 00:00:00,2534228,1328,8,1908,2009-07-10 00:00:00,1543516,1383,10,1116,3077.0,2009
The Tale of Despereaux,60000000.0,56.0,Universal,Adventure,Tale-of-Despereaux-The,Digital Animation,G,True,93.0,Based on Fiction Book/Short Story,2008-12-19 00:00:00,10103675,3255,3,3104,2008-12-26 00:00:00,8932625,2875,7,3107,2009-01-02 00:00:00,6939295,2245,7,3091,2009-01-09 00:00:00,2733585,1190,13,2297,2009-01-16 00:00:00,713595,820,24,870,3107.0,2008
The Terminal,75000000.0,61.0,Dreamworks SKG,Drama,Terminal-The,Live Action,PG-13,True,128.0,Based on Real Life Events,2004-06-18 00:00:00,19053199,6778,2,2811,2004-06-25 00:00:00,13135148,4508,5,2914,2004-07-02 00:00:00,7868718,2828,5,2782,2004-07-09 00:00:00,4974197,2151,8,2313,2004-07-16 00:00:00,3162067,1753,11,1804,2914.0,2004
The Texas Chainsaw Massacre,9000000.0,36.0,New Line,Horror,Texas-Chainsaw-Massacre-The-(2003),Live Action,R,True,,Remake,2003-10-17 00:00:00,28094014,9315,1,3016,2003-10-24 00:00:00,14468555,4794,2,3018,2003-10-31 00:00:00,10818401,3643,3,2970,2003-11-07 00:00:00,4939582,2077,7,2378,2003-11-14 00:00:00,2614908,1627,12,1607,3018.0,2003
The Texas Chainsaw Massacre: The Beginning,16000000.0,12.0,New Line,Horror,Texas-Chainsaw-Massacre-The-Beginning-The,Live Action,R,True,,Remake,2006-10-06 00:00:00,18508228,6563,2,2820,2006-10-13 00:00:00,7485290,2654,5,2820,2006-10-20 00:00:00,3779829,1471,10,2569,2006-10-27 00:00:00,1269942,633,18,2007,2006-11-03 00:00:00,379326,839,24,452,2820.0,2006
The Theory of Everything,15000000.0,79.0,Focus Features,Drama,Theory-of-Everything-The-(2014),Live Action,PG-13,False,123.0,Based on Factual Book/Article,2014-11-07 00:00:00,208763,41753,28,5,2014-11-14 00:00:00,735398,17937,17,41,2014-11-21 00:00:00,1511676,10798,10,140,2014-11-28 00:00:00,5011146,6248,7,802,2014-12-05 00:00:00,2645428,3203,7,826,826.0,2014
The Thing,38000000.0,35.0,Universal,Horror,Thing-The-(2011),Live Action,R,True,102.0,Remake,2011-10-14 00:00:00,8493665,2835,3,2996,2011-10-21 00:00:00,3069875,1025,9,2995,2011-10-28 00:00:00,857325,615,16,1394,2011-11-04 00:00:00,264955,690,26,384,2011-11-11 00:00:00,64925,460,43,141,2996.0,2011
The Three Burials of Melquiades Estrada,15000000.0,,Sony Pictures Classics,Drama,Tres-entierros-de-Melquiades-Estrada-Los,Live Action,R,False,,Original Screenplay,2005-12-16 00:00:00,23859,4772,46,5,2006-02-03 00:00:00,205994,6242,38,33,2006-02-10 00:00:00,181636,4325,38,42,2006-02-17 00:00:00,191300,4666,40,41,2006-02-24 00:00:00,1051957,3032,16,347,347.0,2005
