,budget,critic_rating,distribution,genre,id,method,rating,release,runtime,source,weekend1_date,weekend1_gross,weekend1_pertheater,weekend1_rank,weekend1_theaters,weekend2_date,weekend2_gross,weekend2_pertheater,weekend2_rank,weekend2_theaters,weekend3_date,weekend3_gross,weekend3_pertheater,weekend3_rank,weekend3_theaters,weekend4_date,weekend4_gross,weekend4_pertheater,weekend4_rank,weekend4_theaters,weekend5_date,weekend5_gross,weekend5_pertheater,weekend5_rank,weekend5_theaters,widest_release,year
Halloween,15000000.0,25.0,MGM,Horror,Halloween-(2007),Live Action,R,True,,Original Screenplay,2007-08-31 00:00:00,26362367,7593,1,3472,2007-09-07 00:00:00,9513770,2738,2,3475,2007-09-14 00:00:00,4867522,1595,6,3051,2007-09-21 00:00:00,2189266,936,12,2338,2007-09-28 00:00:00,990099,795,17,1245,3475.0,2007
Halloween 2,15000000.0,19.0,Weinstein/Dimension,Horror,Halloween-2-(2009),Live Action,R,True,105.0,Original Screenplay,2009-08-28 00:00:00,16349565,5405,3,3025,2009-09-04 00:00:00,5745206,1860,6,3088,2009-09-11 00:00:00,2114486,900,14,2350,2009-09-18 00:00:00,751894,724,17,1038,2009-09-25 00:00:00,347033,724,27,479,3088.0,2009
Hamlet 2,9000000.0,62.0,Focus Features,Comedy,Hamlet-2,Live Action,R,False,,Original Screenplay,2008-08-22 00:00:00,439925,4271,22,103,2008-08-29 00:00:00,1698820,1064,17,1597,2008-09-05 00:00:00,826531,525,21,1575,2008-09-12 00:00:00,110532,658,36,168,2008-09-19 00:00:00,31252,558,54,56,1597.0,2008
Hancock,150000000.0,41.0,Sony Pictures,Action,Hancock,Live Action,PG-13,True,92.0,Original Screenplay,2008-07-04 00:00:00,62603879,15789,1,3965,2008-07-11 00:00:00,32080560,8091,2,3965,2008-07-18 00:00:00,14040178,3718,3,3776,2008-07-25 00:00:00,8311123,2512,6,3309,2008-08-01 00:00:00,5087756,1829,7,2782,3965.0,2008
Hanna,30000000.0,71.0,Focus Features,Drama,Hanna,Live Action,PG-13,True,111.0,Original Screenplay,2011-04-08 00:00:00,12370549,4880,2,2535,2011-04-15 00:00:00,7282546,2862,4,2545,2011-04-22 00:00:00,5296302,2222,8,2384,2011-04-29 00:00:00,2252257,1435,12,1569,2011-05-06 00:00:00,836209,1118,14,748,2545.0,2011
Hannah Montana the Movie,30000000.0,44.0,Walt Disney,Drama,Hannah-Montana,Live Action,G,True,102.0,Based on TV,2009-04-10 00:00:00,32324487,10367,1,3118,2009-04-17 00:00:00,13406217,4300,3,3118,2009-04-24 00:00:00,6437141,1992,8,3231,2009-05-01 00:00:00,4164185,1477,8,2819,2009-05-08 00:00:00,2193043,953,10,2301,3231.0,2009
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,6500000.0,72.0,Walt Disney,Concert/Performance,Hannah-Montana-Miley-Cyrus-Best-of-Both-Worlds-Concert-Tour,Live Action,G,True,,Based on Real Life Events,2008-02-01 00:00:00,31117834,45561,1,683,2008-02-08 00:00:00,10295922,14987,3,687,2008-02-15 00:00:00,3263192,4764,9,685,2008-02-22 00:00:00,1591644,2596,16,613,2008-02-29 00:00:00,948075,1785,17,531,687.0,2008
Hannibal Rising,50000000.0,15.0,Weinstein Co.,Thriller/Suspense,Hannibal-Rising,Live Action,R,True,,Based on Fiction Book/Short Story,2007-02-09 00:00:00,13051650,4346,2,3003,2007-02-16 00:00:00,5418106,1804,7,3003,2007-02-23 00:00:00,1706165,1069,13,1596,2007-03-02 00:00:00,511556,686,22,746,2007-03-09 00:00:00,179581,824,33,218,3003.0,2007
Hansel & Gretel: Witch Hunters,50000000.0,15.0,Paramount Pictures,Action,Hansel-and-Gretel-Witch-Hunters,Live Action,R,True,100.0,Based on Folk Tale/Legend/Fairytale,2013-01-25 00:00:00,19690956,5840,1,3372,2013-02-01 00:00:00,9423274,2792,2,3375,2013-02-08 00:00:00,5753165,1751,5,3285,2013-02-15 00:00:00,3513410,1671,9,2103,2013-02-22 00:00:00,1684532,1182,13,1425,3375.0,2013
Happily N'Ever After,47000000.0,4.0,Lionsgate,Comedy,Happily-N-Ever-After,Digital Animation,PG,True,,Original Screenplay,2007-01-05 00:00:00,6608244,2775,6,2381,2007-01-12 00:00:00,3128897,1314,12,2381,2007-01-19 00:00:00,1562814,889,19,1758,2007-01-26 00:00:00,549141,832,32,660,2007-02-02 00:00:00,276317,653,35,423,2381.0,2007
